item_id,demand,org,code,year,month,day
2,2,NE Europe,"",2016,7,1
2,35,SEMEA,"",2016,7,1
2,50,Americas,"",2016,8,1
2,90,Asia,"",2016,8,1
2,10,INTL Other,"",2016,8,1
2,10,NE Europe,"",2016,8,1
2,165,SEMEA,"",2016,8,1
2,50,Americas,"",2016,9,1
2,150,Asia,"",2016,9,1
2,20,NE Europe,"",2016,9,1
2,30,SEMEA,"",2016,9,1
2,33,Asia,"",2016,10,1
2,130,SEMEA,"",2016,10,1
2,50,Asia,"",2016,11,1
2,8,INTL Other,"",2016,11,1
2,40,NE Europe,"",2016,11,1
2,30,SEMEA,"",2016,11,1
2,5,Asia,"",2016,12,1
2,210,SEMEA,"",2016,12,1
2,51,Americas,"",2017,1,1
2,230,INTL Other,"",2017,1,1
2,20,SEMEA,"",2017,1,1
2,65,Americas,"",2017,2,1
2,110,Asia,"",2017,2,1
2,10,China,"",2017,2,1
2,18,INTL Other,"",2017,2,1
2,300,NE Europe,"",2017,2,1
2,45,SEMEA,"",2017,2,1
2,26,Americas,"",2017,3,1
2,125,Asia,"",2017,3,1
2,40,INTL Other,"",2017,3,1
2,260,SEMEA,"",2017,3,1
2,8,Americas,"",2017,4,1
2,19,INTL Other,"",2017,4,1
2,175,SEMEA,"",2017,4,1
2,50,Americas,"",2017,5,1
2,160,Asia,"",2017,5,1
2,25,NE Europe,"",2017,5,1
2,10,Asia,"",2017,6,1
2,100,SEMEA,"",2017,6,1
2,35,Asia,"",2017,7,1
2,10,China,"",2017,7,1
2,2,NE Europe,"",2017,7,1
2,75,SEMEA,"",2017,7,1
2,75,Asia,"",2017,10,1
2,20,INTL Other,"",2017,10,1
2,8,NE Europe,"",2017,10,1
2,75,SEMEA,"",2017,10,1
2,5,INTL Other,"",2017,11,1
2,180,SEMEA,"",2017,11,1
2,60,INTL Other,"",2017,12,1
2,30,NE Europe,"",2017,12,1
2,10,SEMEA,"",2017,12,1
2,330,INTL Other,"",2018,1,1
2,70,SEMEA,"",2018,1,1
2,135,Americas,"",2018,2,1
2,85,Asia,"",2018,2,1
2,5,INTL Other,"",2018,2,1
2,250,SEMEA,"",2018,2,1
2,140,Asia,"",2018,3,1
2,10,INTL Other,"",2018,3,1
2,200,SEMEA,"",2018,3,1
2,55,Asia,"",2018,4,1
2,100,INTL Other,"",2018,4,1
2,200,NE Europe,"",2018,4,1
2,80,SEMEA,"",2018,4,1
2,50,Americas,"",2018,5,1
2,60,Asia,"",2018,5,1
2,25,Asia,"",2018,6,1
2,100,INTL Other,"",2018,6,1
2,315,SEMEA,"",2018,6,1
2,11,Americas,"",2018,7,1
2,10,China,"",2018,7,1
2,10,SEMEA,"",2018,8,1
2,100,Americas,"",2018,9,1
2,400,INTL Other,"",2018,9,1
2,20,SEMEA,"",2018,9,1
2,40,Asia,"",2018,10,1
2,35,SEMEA,"",2018,10,1
2,50,SEMEA,"",2018,12,1
2,8,Americas,"",2019,1,1
2,60,Asia,"",2019,1,1
2,158,INTL Other,"",2019,1,1
2,50,NE Europe,"",2019,1,1
2,25,SEMEA,"",2019,1,1
2,100,Americas,"",2019,2,1
2,50,INTL Other,"",2019,2,1
2,10,NE Europe,"",2019,2,1
2,100,SEMEA,"",2019,2,1
2,25,Americas,"",2019,3,1
2,100,Asia,"",2019,3,1
2,30,SEMEA,"",2019,3,1
2,5,Americas,"",2019,4,1
2,55,Asia,"",2019,4,1
2,70,INTL Other,"",2019,4,1
2,25,SEMEA,"",2019,4,1
2,5,Asia,"",2019,5,1
2,50,NE Europe,"",2019,5,1
2,20,SEMEA,"",2019,5,1
2,55,Asia,"",2019,6,1
2,50,INTL Other,"",2019,6,1
2,10,Americas,"",2019,7,1
2,20,Asia,"",2019,7,1
2,100,SEMEA,"",2019,7,1
3,43,Americas,"",2015,1,1
3,2,Americas,"",2015,2,1
3,2,Americas,"",2015,3,1
3,3,Americas,"",2015,4,1
3,1,Americas,"",2015,5,1
3,1,Americas,"",2015,6,1
3,1,Americas,"",2015,7,1
3,2,Americas,"",2015,8,1
3,1,Americas,"",2015,9,1
3,4,Americas,"",2015,10,1
3,1,Americas,"",2015,11,1
3,22,INTL Other,"",2016,1,1
3,1,Americas,"",2016,2,1
3,12,Americas,"",2016,3,1
3,5,Americas,"",2016,4,1
3,2,Americas,"",2016,5,1
3,5,INTL Other,"",2016,5,1
3,2,Americas,"",2016,6,1
3,2,Americas,"",2016,10,1
3,1,Americas,"",2016,11,1
3,2,Americas,"",2016,12,1
3,9,Americas,"",2017,2,1
3,10,INTL Other,"",2017,2,1
3,6,Americas,"",2017,3,1
3,10,INTL Other,"",2017,3,1
3,6,Americas,"",2017,4,1
3,6,Americas,"",2017,5,1
3,2,Americas,"",2017,6,1
3,3,Americas,"",2017,7,1
3,5,Americas,"",2017,8,1
3,3,Americas,"",2017,11,1
3,4,Americas,"",2017,12,1
3,4,Americas,"",2018,2,1
3,23,Americas,"",2018,3,1
3,28,Americas,"",2018,4,1
3,120,INTL Other,"",2018,4,1
3,13,Americas,"",2018,5,1
3,100,INTL Other,"",2018,5,1
3,7,Americas,"",2018,6,1
3,100,INTL Other,"",2018,6,1
3,6,Americas,"",2018,7,1
3,7,Americas,"",2018,8,1
3,90,INTL Other,"",2018,9,1
3,3,Americas,"",2018,10,1
3,2,Americas,"",2018,11,1
3,2,Americas,"",2018,12,1
3,200,INTL Other,"",2019,1,1
3,3,Americas,"",2019,2,1
3,90,INTL Other,"",2019,2,1
3,6,Americas,"",2019,3,1
3,30,INTL Other,"",2019,3,1
3,2,Americas,"",2019,4,1
3,10,Asia,"",2019,4,1
3,160,INTL Other,"",2019,4,1
3,2,Americas,"",2019,5,1
3,1,Americas,"",2019,6,1
3,1,INTL Other,"",2019,6,1
3,100,INTL Other,"",2019,7,1
5,1,Americas,"",2017,4,1
5,2,Americas,"",2017,8,1
1,5,Asia,"",2015,3,1
1,10,Asia,"",2015,4,1
1,16,Asia,"",2015,6,1
1,16,Asia,"",2015,7,1
1001299,100,INTL Other,"",2016,6,1
1001299,1,Americas,"",2017,3,1
1001299,1,Americas,"",2018,1,1
1001299,100,INTL Other,"",2018,1,1
1001299,100,China,"",2018,7,1
1001299,10,Asia,"",2019,1,1
1001299,100,INTL Other,"",2019,2,1
1001299,100,NE Europe,"",2019,2,1
1001422,4,NE Europe,"",2015,6,1
1001422,3,SEMEA,"",2015,6,1
1001422,6,NE Europe,"",2015,8,1
1001422,9,NE Europe,"",2015,10,1
1001422,3,SEMEA,"",2015,12,1
1001422,5,SEMEA,"",2016,11,1
1001422,9,NE Europe,"",2017,3,1
1001422,20,INTL Other,"",2017,5,1
1001476,6,NE Europe,"",2015,2,1
1001476,2,SEMEA,"",2015,2,1
1001476,12,NE Europe,"",2015,3,1
1001476,12,Americas,"",2015,4,1
1001476,8,NE Europe,"",2015,4,1
1001476,18,NE Europe,"",2015,6,1
1001476,2,Americas,"",2015,9,1
1001476,3,NE Europe,"",2015,9,1
1001476,24,NE Europe,"",2015,10,1
1001476,2,Americas,"",2015,11,1
1001476,9,NE Europe,"",2015,11,1
1001476,54,NE Europe,"",2015,12,1
1001476,12,NE Europe,"",2016,2,1
1001476,12,NE Europe,"",2016,5,1
1001476,6,NE Europe,"",2016,9,1
1001476,15,NE Europe,"",2016,10,1
1001476,1,SEMEA,"",2016,10,1
1001476,30,NE Europe,"",2016,11,1
1001476,16,NE Europe,"",2017,4,1
1001476,34,NE Europe,"",2017,5,1
1001476,25,NE Europe,"",2017,12,1
1001476,35,NE Europe,"",2018,1,1
1001477,3,NE Europe,"",2015,2,1
1001477,2,SEMEA,"",2015,2,1
1001477,8,NE Europe,"",2015,3,1
1001477,12,Americas,"",2015,4,1
1001477,7,NE Europe,"",2015,4,1
1001477,12,NE Europe,"",2015,6,1
1001477,2,Americas,"",2015,9,1
1001477,3,NE Europe,"",2015,9,1
1001477,36,NE Europe,"",2015,10,1
1001477,2,Americas,"",2015,11,1
1001477,15,NE Europe,"",2015,11,1
1001477,36,NE Europe,"",2015,12,1
1001477,27,NE Europe,"",2016,10,1
1001477,18,NE Europe,"",2016,11,1
1001477,32,NE Europe,"",2017,4,1
1001477,18,NE Europe,"",2017,5,1
1001477,15,NE Europe,"",2017,12,1
1001477,40,NE Europe,"",2018,1,1
1001478,5,NE Europe,"",2015,2,1
1001478,2,SEMEA,"",2015,2,1
1001478,13,NE Europe,"",2015,3,1
1001478,12,Americas,"",2015,4,1
1001478,11,NE Europe,"",2015,4,1
1001478,6,NE Europe,"",2015,5,1
1001478,15,NE Europe,"",2015,6,1
1001478,2,Americas,"",2015,9,1
1001478,6,NE Europe,"",2015,9,1
1001478,27,NE Europe,"",2015,10,1
1001478,2,Americas,"",2015,11,1
1001478,12,NE Europe,"",2015,11,1
1001478,35,NE Europe,"",2015,12,1
1001478,8,NE Europe,"",2016,1,1
1001478,22,NE Europe,"",2016,2,1
1001478,14,NE Europe,"",2016,3,1
1001478,1,Americas,"",2016,4,1
1001478,19,NE Europe,"",2016,4,1
1001478,33,NE Europe,"",2016,5,1
1001478,25,NE Europe,"",2016,6,1
1001478,12,NE Europe,"",2016,10,1
1001478,37,NE Europe,"",2016,11,1
1001478,2,NE Europe,"",2017,1,1
1001478,30,NE Europe,"",2017,3,1
1001478,45,NE Europe,"",2017,4,1
1001478,37,NE Europe,"",2017,5,1
1001478,30,NE Europe,"",2017,6,1
1001478,15,NE Europe,"",2017,12,1
1001478,50,NE Europe,"",2018,1,1
1001479,3,NE Europe,"",2015,2,1
1001479,2,SEMEA,"",2015,2,1
1001479,9,NE Europe,"",2015,3,1
1001479,12,Americas,"",2015,4,1
1001479,6,NE Europe,"",2015,4,1
1001479,4,NE Europe,"",2015,5,1
1001479,12,NE Europe,"",2015,6,1
1001479,2,Americas,"",2015,9,1
1001479,6,NE Europe,"",2015,9,1
1001479,42,NE Europe,"",2015,10,1
1001479,2,Americas,"",2015,11,1
1001479,9,NE Europe,"",2015,11,1
1001479,35,NE Europe,"",2015,12,1
1001479,12,NE Europe,"",2016,3,1
1001479,15,NE Europe,"",2016,4,1
1001479,42,NE Europe,"",2016,5,1
1001479,3,NE Europe,"",2016,9,1
1001479,21,NE Europe,"",2016,10,1
1001479,31,NE Europe,"",2016,11,1
1001479,4,NE Europe,"",2017,1,1
1001479,28,NE Europe,"",2017,3,1
1001479,22,NE Europe,"",2017,4,1
1001479,3,NE Europe,"",2017,5,1
1001479,25,NE Europe,"",2017,6,1
1001479,1,NE Europe,"",2017,7,1
1001479,24,NE Europe,"",2017,12,1
1001480,2,NE Europe,"",2015,1,1
1001480,2,NE Europe,"",2015,2,1
1001480,3,SEMEA,"",2015,2,1
1001480,1,NE Europe,"",2015,3,1
1001480,5,NE Europe,"",2015,6,1
1001480,6,NE Europe,"",2015,8,1
1001480,2,Americas,"",2015,9,1
1001480,6,NE Europe,"",2015,9,1
1001480,6,NE Europe,"",2015,10,1
1001480,9,NE Europe,"",2015,12,1
1001480,6,SEMEA,"",2016,1,1
1001480,2,NE Europe,"",2016,2,1
1001480,2,NE Europe,"",2016,5,1
1001480,2,NE Europe,"",2016,6,1
1001480,1,SEMEA,"",2016,6,1
1001480,3,NE Europe,"",2016,7,1
1001480,2,NE Europe,"",2016,8,1
1001480,3,NE Europe,"",2016,9,1
1001480,11,NE Europe,"",2016,11,1
1001480,7,NE Europe,"",2016,12,1
1001480,1,NE Europe,"",2017,1,1
1001480,5,NE Europe,"",2017,3,1
1001480,7,NE Europe,"",2017,6,1
1001480,1,NE Europe,"",2017,12,1
1001480,10,NE Europe,"",2018,1,1
1001481,4,NE Europe,"",2015,1,1
1001481,1,NE Europe,"",2015,2,1
1001481,3,SEMEA,"",2015,2,1
1001481,3,NE Europe,"",2015,3,1
1001481,1,NE Europe,"",2015,4,1
1001481,5,NE Europe,"",2015,6,1
1001481,6,NE Europe,"",2015,8,1
1001481,2,Americas,"",2015,9,1
1001481,6,NE Europe,"",2015,9,1
1001481,9,NE Europe,"",2015,10,1
1001481,11,NE Europe,"",2015,12,1
1001481,2,SEMEA,"",2016,1,1
1001481,2,NE Europe,"",2016,2,1
1001481,2,SEMEA,"",2016,4,1
1001481,3,NE Europe,"",2016,5,1
1001481,3,NE Europe,"",2016,6,1
1001481,1,SEMEA,"",2016,6,1
1001481,3,NE Europe,"",2016,7,1
1001481,2,NE Europe,"",2016,8,1
1001481,5,NE Europe,"",2016,9,1
1001481,9,NE Europe,"",2016,11,1
1001481,16,NE Europe,"",2016,12,1
1001481,5,NE Europe,"",2017,3,1
1001481,6,NE Europe,"",2017,6,1
1001481,24,NE Europe,"",2018,1,1
1001482,2,NE Europe,"",2015,1,1
1001482,4,NE Europe,"",2015,2,1
1001482,11,NE Europe,"",2015,3,1
1001482,6,Americas,"",2015,4,1
1001482,3,NE Europe,"",2015,4,1
1001482,2,NE Europe,"",2015,6,1
1001482,5,NE Europe,"",2015,7,1
1001482,6,NE Europe,"",2015,8,1
1001482,2,SEMEA,"",2015,8,1
1001482,4,Americas,"",2015,9,1
1001482,3,NE Europe,"",2015,9,1
1001482,34,NE Europe,"",2015,10,1
1001482,4,SEMEA,"",2015,10,1
1001482,2,Americas,"",2015,11,1
1001482,2,NE Europe,"",2015,11,1
1001482,8,NE Europe,"",2015,12,1
1001482,10,SEMEA,"",2016,1,1
1001482,3,NE Europe,"",2016,4,1
1001482,30,SEMEA,"",2016,5,1
1001482,6,NE Europe,"",2016,6,1
1001482,7,NE Europe,"",2016,7,1
1001482,12,NE Europe,"",2016,9,1
1001482,6,NE Europe,"",2016,10,1
1001482,3,NE Europe,"",2016,11,1
1001482,16,NE Europe,"",2016,12,1
1001482,3,NE Europe,"",2017,6,1
1001482,25,NE Europe,"",2018,1,1
1001483,5,NE Europe,"",2015,1,1
1001483,6,NE Europe,"",2015,2,1
1001483,15,NE Europe,"",2015,3,1
1001483,6,NE Europe,"",2015,4,1
1001483,1,SEMEA,"",2015,5,1
1001483,2,Americas,"",2015,6,1
1001483,5,NE Europe,"",2015,6,1
1001483,6,NE Europe,"",2015,8,1
1001483,4,Americas,"",2015,9,1
1001483,3,NE Europe,"",2015,9,1
1001483,21,NE Europe,"",2015,10,1
1001483,4,SEMEA,"",2015,10,1
1001483,9,NE Europe,"",2015,11,1
1001483,5,SEMEA,"",2015,11,1
1001483,10,NE Europe,"",2015,12,1
1001483,3,NE Europe,"",2016,2,1
1001483,9,NE Europe,"",2016,4,1
1001483,6,NE Europe,"",2016,5,1
1001483,30,SEMEA,"",2016,5,1
1001483,2,NE Europe,"",2016,6,1
1001483,1,SEMEA,"",2016,6,1
1001483,8,NE Europe,"",2016,7,1
1001483,15,NE Europe,"",2016,9,1
1001483,6,NE Europe,"",2016,10,1
1001483,8,NE Europe,"",2016,11,1
1001483,13,NE Europe,"",2016,12,1
1001483,5,NE Europe,"",2017,1,1
1001483,3,NE Europe,"",2017,4,1
1001483,9,NE Europe,"",2017,6,1
1001483,25,NE Europe,"",2018,1,1
1001484,4,NE Europe,"",2015,1,1
1001484,5,NE Europe,"",2015,2,1
1001484,13,NE Europe,"",2015,3,1
1001484,8,Americas,"",2015,4,1
1001484,2,NE Europe,"",2015,4,1
1001484,3,NE Europe,"",2015,5,1
1001484,2,NE Europe,"",2015,6,1
1001484,7,NE Europe,"",2015,7,1
1001484,6,NE Europe,"",2015,8,1
1001484,4,SEMEA,"",2015,8,1
1001484,9,NE Europe,"",2015,9,1
1001484,12,NE Europe,"",2015,10,1
1001484,3,SEMEA,"",2015,10,1
1001484,2,Americas,"",2015,11,1
1001484,4,NE Europe,"",2015,11,1
1001484,2,SEMEA,"",2015,11,1
1001484,32,NE Europe,"",2015,12,1
1001484,2,SEMEA,"",2016,1,1
1001484,6,NE Europe,"",2016,4,1
1001484,8,NE Europe,"",2016,6,1
1001484,3,SEMEA,"",2016,6,1
1001484,7,NE Europe,"",2016,7,1
1001484,3,NE Europe,"",2016,8,1
1001484,15,NE Europe,"",2016,9,1
1001484,1,SEMEA,"",2016,9,1
1001484,12,NE Europe,"",2016,10,1
1001484,7,NE Europe,"",2016,11,1
1001484,16,NE Europe,"",2016,12,1
1001484,7,NE Europe,"",2017,1,1
1001484,13,NE Europe,"",2017,6,1
1001484,25,NE Europe,"",2018,1,1
1001485,2,NE Europe,"",2015,2,1
1001485,10,NE Europe,"",2015,3,1
1001485,8,Americas,"",2015,4,1
1001485,1,NE Europe,"",2015,4,1
1001485,6,NE Europe,"",2015,5,1
1001485,9,NE Europe,"",2015,7,1
1001485,6,NE Europe,"",2015,8,1
1001485,4,SEMEA,"",2015,8,1
1001485,3,NE Europe,"",2015,9,1
1001485,18,NE Europe,"",2015,10,1
1001485,5,SEMEA,"",2015,10,1
1001485,2,Americas,"",2015,11,1
1001485,6,NE Europe,"",2015,11,1
1001485,5,SEMEA,"",2015,11,1
1001485,32,NE Europe,"",2015,12,1
1001485,6,NE Europe,"",2016,4,1
1001485,6,NE Europe,"",2016,7,1
1001485,9,NE Europe,"",2016,10,1
1001485,3,NE Europe,"",2016,11,1
1001485,9,NE Europe,"",2016,12,1
1001485,7,NE Europe,"",2017,3,1
1001485,13,NE Europe,"",2017,6,1
1001485,25,NE Europe,"",2018,1,1
1001486,2,NE Europe,"",2015,2,1
1001486,13,NE Europe,"",2015,3,1
1001486,12,Americas,"",2015,4,1
1001486,7,NE Europe,"",2015,4,1
1001486,3,NE Europe,"",2015,5,1
1001486,18,NE Europe,"",2015,6,1
1001486,3,NE Europe,"",2015,9,1
1001486,6,NE Europe,"",2015,10,1
1001486,2,Americas,"",2015,11,1
1001486,15,NE Europe,"",2015,11,1
1001486,46,NE Europe,"",2015,12,1
1001486,6,NE Europe,"",2016,2,1
1001486,1,Americas,"",2016,4,1
1001486,6,NE Europe,"",2016,4,1
1001486,18,NE Europe,"",2016,5,1
1001486,6,NE Europe,"",2016,7,1
1001486,6,NE Europe,"",2016,8,1
1001486,6,NE Europe,"",2016,9,1
1001486,18,NE Europe,"",2016,10,1
1001486,1,Americas,"",2016,11,1
1001486,15,NE Europe,"",2016,11,1
1001486,4,NE Europe,"",2017,2,1
1001486,12,NE Europe,"",2017,3,1
1001486,35,NE Europe,"",2017,4,1
1001486,22,NE Europe,"",2017,5,1
1001486,23,NE Europe,"",2017,6,1
1001486,25,NE Europe,"",2017,12,1
1001486,25,NE Europe,"",2018,1,1
1001487,2,NE Europe,"",2015,2,1
1001487,14,NE Europe,"",2015,3,1
1001487,12,Americas,"",2015,4,1
1001487,8,NE Europe,"",2015,4,1
1001487,3,NE Europe,"",2015,5,1
1001487,15,NE Europe,"",2015,6,1
1001487,6,NE Europe,"",2015,9,1
1001487,6,NE Europe,"",2015,10,1
1001487,2,Americas,"",2015,11,1
1001487,18,NE Europe,"",2015,11,1
1001487,53,NE Europe,"",2015,12,1
1001487,2,NE Europe,"",2016,1,1
1001487,6,NE Europe,"",2016,2,1
1001487,1,Americas,"",2016,4,1
1001487,6,NE Europe,"",2016,4,1
1001487,18,NE Europe,"",2016,5,1
1001487,6,NE Europe,"",2016,7,1
1001487,6,NE Europe,"",2016,9,1
1001487,21,NE Europe,"",2016,10,1
1001487,1,Americas,"",2016,11,1
1001487,15,NE Europe,"",2016,11,1
1001487,4,NE Europe,"",2017,2,1
1001487,16,NE Europe,"",2017,3,1
1001487,34,NE Europe,"",2017,4,1
1001487,12,NE Europe,"",2017,5,1
1001487,35,NE Europe,"",2017,6,1
1001487,35,NE Europe,"",2017,12,1
1001487,50,NE Europe,"",2018,1,1
1001488,5,NE Europe,"",2015,1,1
1001488,3,NE Europe,"",2015,2,1
1001488,6,SEMEA,"",2015,2,1
1001488,12,NE Europe,"",2015,3,1
1001488,6,NE Europe,"",2015,4,1
1001488,2,NE Europe,"",2015,5,1
1001488,6,NE Europe,"",2015,7,1
1001488,6,NE Europe,"",2015,8,1
1001488,2,SEMEA,"",2015,8,1
1001488,6,Americas,"",2015,9,1
1001488,3,NE Europe,"",2015,9,1
1001488,21,NE Europe,"",2015,10,1
1001488,15,SEMEA,"",2015,10,1
1001488,15,NE Europe,"",2015,11,1
1001488,10,SEMEA,"",2015,11,1
1001488,15,NE Europe,"",2015,12,1
1001488,5,NE Europe,"",2016,4,1
1001488,6,NE Europe,"",2016,5,1
1001488,2,SEMEA,"",2016,6,1
1001488,16,NE Europe,"",2016,7,1
1001488,4,NE Europe,"",2016,8,1
1001488,9,NE Europe,"",2016,10,1
1001488,6,NE Europe,"",2016,11,1
1001488,9,NE Europe,"",2016,12,1
1001488,4,NE Europe,"",2017,3,1
1001488,3,NE Europe,"",2017,4,1
1001488,11,NE Europe,"",2017,6,1
1001488,25,NE Europe,"",2018,1,1
1001489,4,NE Europe,"",2015,2,1
1001489,7,NE Europe,"",2015,3,1
1001489,7,NE Europe,"",2015,4,1
1001489,2,NE Europe,"",2015,5,1
1001489,6,NE Europe,"",2015,7,1
1001489,6,NE Europe,"",2015,8,1
1001489,4,SEMEA,"",2015,8,1
1001489,6,Americas,"",2015,9,1
1001489,3,NE Europe,"",2015,9,1
1001489,33,NE Europe,"",2015,10,1
1001489,15,SEMEA,"",2015,10,1
1001489,12,NE Europe,"",2015,11,1
1001489,5,SEMEA,"",2015,11,1
1001489,10,NE Europe,"",2015,12,1
1001489,5,NE Europe,"",2016,4,1
1001489,6,NE Europe,"",2016,5,1
1001489,4,NE Europe,"",2016,6,1
1001489,20,NE Europe,"",2016,7,1
1001489,6,NE Europe,"",2016,8,1
1001489,1,SEMEA,"",2016,9,1
1001489,6,NE Europe,"",2016,10,1
1001489,1,SEMEA,"",2016,10,1
1001489,9,NE Europe,"",2016,11,1
1001489,4,NE Europe,"",2017,3,1
1001489,3,NE Europe,"",2017,4,1
1001489,11,NE Europe,"",2017,6,1
1001489,25,NE Europe,"",2018,1,1
1001490,3,NE Europe,"",2015,2,1
1001490,5,NE Europe,"",2015,3,1
1001490,4,NE Europe,"",2015,4,1
1001490,1,SEMEA,"",2015,6,1
1001490,10,NE Europe,"",2015,7,1
1001490,4,NE Europe,"",2015,8,1
1001490,4,SEMEA,"",2015,8,1
1001490,4,Americas,"",2015,9,1
1001490,3,NE Europe,"",2015,9,1
1001490,3,NE Europe,"",2015,10,1
1001490,10,SEMEA,"",2015,10,1
1001490,2,Americas,"",2015,11,1
1001490,6,NE Europe,"",2015,11,1
1001490,15,NE Europe,"",2015,12,1
1001490,3,NE Europe,"",2016,4,1
1001490,9,NE Europe,"",2016,5,1
1001490,30,SEMEA,"",2016,5,1
1001490,3,NE Europe,"",2016,7,1
1001490,9,NE Europe,"",2016,10,1
1001490,3,Americas,"",2016,11,1
1001490,6,NE Europe,"",2016,11,1
1001490,8,NE Europe,"",2017,6,1
1001490,25,NE Europe,"",2018,1,1
1001491,3,NE Europe,"",2015,2,1
1001491,5,NE Europe,"",2015,3,1
1001491,7,NE Europe,"",2015,4,1
1001491,1,SEMEA,"",2015,5,1
1001491,1,SEMEA,"",2015,6,1
1001491,8,NE Europe,"",2015,7,1
1001491,2,NE Europe,"",2015,8,1
1001491,2,SEMEA,"",2015,8,1
1001491,6,Americas,"",2015,9,1
1001491,3,NE Europe,"",2015,9,1
1001491,3,NE Europe,"",2015,10,1
1001491,2,Americas,"",2015,11,1
1001491,12,NE Europe,"",2015,11,1
1001491,20,NE Europe,"",2015,12,1
1001491,12,NE Europe,"",2016,5,1
1001491,30,SEMEA,"",2016,5,1
1001491,6,SEMEA,"",2016,6,1
1001491,4,NE Europe,"",2016,7,1
1001491,9,NE Europe,"",2016,10,1
1001491,3,Americas,"",2016,11,1
1001491,6,NE Europe,"",2016,11,1
1001491,12,NE Europe,"",2016,12,1
1001491,12,NE Europe,"",2017,6,1
1001491,25,NE Europe,"",2018,1,1
1001492,2,NE Europe,"",2015,1,1
1001492,5,NE Europe,"",2015,2,1
1001492,3,SEMEA,"",2015,2,1
1001492,9,NE Europe,"",2015,3,1
1001492,1,NE Europe,"",2015,4,1
1001492,3,NE Europe,"",2015,6,1
1001492,2,NE Europe,"",2015,7,1
1001492,7,NE Europe,"",2015,8,1
1001492,9,NE Europe,"",2015,9,1
1001492,12,NE Europe,"",2015,10,1
1001492,5,NE Europe,"",2015,12,1
1001492,9,Americas,"",2016,1,1
1001492,3,SEMEA,"",2016,1,1
1001492,6,NE Europe,"",2016,2,1
1001492,3,NE Europe,"",2016,3,1
1001492,11,NE Europe,"",2016,5,1
1001492,8,NE Europe,"",2016,7,1
1001492,6,NE Europe,"",2016,9,1
1001492,9,NE Europe,"",2016,11,1
1001492,3,NE Europe,"",2016,12,1
1001492,4,NE Europe,"",2017,2,1
1001492,5,NE Europe,"",2017,3,1
1001492,2,NE Europe,"",2017,4,1
1001492,20,NE Europe,"",2018,1,1
1001493,4,NE Europe,"",2015,1,1
1001493,5,NE Europe,"",2015,2,1
1001493,3,SEMEA,"",2015,2,1
1001493,13,NE Europe,"",2015,3,1
1001493,1,NE Europe,"",2015,4,1
1001493,5,NE Europe,"",2015,6,1
1001493,1,NE Europe,"",2015,8,1
1001493,12,NE Europe,"",2015,9,1
1001493,12,NE Europe,"",2015,10,1
1001493,11,NE Europe,"",2015,12,1
1001493,9,Americas,"",2016,1,1
1001493,5,SEMEA,"",2016,1,1
1001493,7,NE Europe,"",2016,2,1
1001493,10,NE Europe,"",2016,3,1
1001493,6,NE Europe,"",2016,4,1
1001493,15,NE Europe,"",2016,5,1
1001493,5,NE Europe,"",2016,7,1
1001493,12,NE Europe,"",2016,9,1
1001493,8,NE Europe,"",2016,11,1
1001493,3,NE Europe,"",2016,12,1
1001493,3,NE Europe,"",2017,1,1
1001493,14,NE Europe,"",2017,2,1
